Прізвище,Ім'я,Побатькові,Стать,Дата народження,Посада,Місто проживання,Адреса,Телефон,Email
Хорішко,Назар,Володимирович,Чоловік,1947-11-08 00:00:00,Скульптор,місто Роман,"провулок Сиротенко, 51, хутір Онисим, 95266",649 87 51,fkorpaniuk@email.ua
Ляшко,Ярослава,Петрівна,Жінка,1959-03-15 00:00:00,Краєзнавець,село Устим,"набережна Шило, 76, хутір Григорій, 38682",+38 162 241-78-99,tetianazatovkaniuk@gzhytsʹkyi.net
Михайличенко,Венедикт,Назарович,Чоловік,1985-02-16 00:00:00,Драматург,селище Орхип,"Цюпа узвіз, 57, хутір Артем, 72670",559 82 90,orynapetrenko@zhuchenko-skopenko.укр
Охріменко,Сніжана,Вадимівна,Жінка,1984-07-24 00:00:00,Стоматолог,село Сніжана,"Ісаєвич узвіз, 421, селище Алла, 18963",+38 (868) 908-59-20,ievhenivasiuk@i.ua
Данильчук,Євген,Михайлович,Чоловік,1957-02-21 00:00:00,Футболіст,село Ганна,"проспект Михалюк, 847, хутір Надія, 106049",+38 983 986-47-24,volodymyr92@ukr.net
Василенко,Ілля,Юрійович,Чоловік,1999-02-10 00:00:00,Фізик,хутір Степан,"Демиденко узвіз, 63, селище Володимир, 11832",068 517-99-84,pmykytiuk@gov.ua
Медведенко,Варфоломій,Вадимович,Чоловік,1975-08-26 00:00:00,Мовознавець,хутір Орися,"майдан Медведенко, 38, хутір Климент, 03886",373-88-24,ptsymbal@meta.ua
Приймак,Любов,Володимирівна,Жінка,1951-09-28 00:00:00,Детектив,село Демʼян,"Царенко узвіз, 91, селище Мілена, 61543",+38 102 261 98 34,bohdankonoplenko@meta.ua
Якименко,Володимира,Петрівна,Жінка,1947-01-29 00:00:00,Бухгалтер,місто Людмила,"Тимчук узвіз, 3, селище Левко, 59946",+38 509 599-11-33,prokhir22@fartushniak.org
Гаврилець,Орест,Вікторович,Чоловік,2004-11-25 00:00:00,Конструктор,місто Стефан,"проспект Вдовенко, 1, хутір Валерій, 72762",+38 700 132-48-87,mariia78@ukr.net
Височан,Марія,Дмитрівна,Жінка,1954-09-27 00:00:00,Соціолог,село Дан,"Штепа узвіз, 4, хутір Веніямин, 54979",+38 277 433-81-70,ieshchenkosolomiia@gmail.com
Хорішко,Тетяна,Вадимівна,Жінка,1982-05-12 00:00:00,Фермер,село Ілля,"бульвар Козак, 22, село Миколай, 92047",087 429 82 45,opanas65@i.ua
Панчук,Мирон,Вікторович,Чоловік,1954-12-14 00:00:00,Водій,село Віолетта,"набережна Бабійчук, 935, село Зиновій, 39760",071 693-97-72,vadym48@artiukh.org
Сиротенко,Леопольд,Ільїч,Чоловік,1996-09-21 00:00:00,Фрілансер,хутір Павло,"Палій узвіз, 24, місто Галина, 32614",723-49-81,alevtyndanʹko@yemelʹianenko.com
Яремко,Амалія,Григорівна,Жінка,1969-12-24 00:00:00,Науковець,село Євген,"провулок Адамчук, 20, місто Єва, 27590",+38 (404) 114-84-51,mzakusylo@gmail.com
Данькевич,Марія,Артемівна,Жінка,1940-09-05 00:00:00,Паралегал,село Єфрем,"Зінкевич узвіз, 640, хутір Лесь, 62501",736-69-85,maryna02@ukr.net
Гупало,Вікторія,Григорівна,Жінка,1938-09-27 00:00:00,Бізнесмен,село Спас,"Макогон узвіз, 4, село Мирон, 06555",+38 433 375-92-15,milena21@tereshchenko-zhurba.info
Василашко,Борис,Вікторович,Чоловік,2004-06-05 00:00:00,Підприємець,село Тимофій,"проспект Алексюк, 036, місто Клавдія, 42825",641 55 89,odarkasaienko@dzyndra.info
Христич,Аркадій,Артемович,Чоловік,1984-08-21 00:00:00,Кур'єр,хутір Валентина,"Ющенко узвіз, 752, селище Василина, 29231",888 64 13,klavdiia76@mazur-fastenko.net
Медведенко,Алла,Максимівна,Жінка,1974-10-08 00:00:00,Локсмайстер,село Камілла,"Масоха узвіз, 801, місто Франц, 77730",+38 844 570-92-02,oderevʼianko@bezborodʹky.info
Даниленко,Гордій,Іванович,Чоловік,1972-06-18 00:00:00,Стиліст,селище Владислав,"Корсун узвіз, 402, село Вікторія, 12074",+38 774 084 69 89,pylyp63@karpa.net
Александренко,Святослава,Вадимівна,Жінка,1958-09-21 00:00:00,Гінеколог,село Лесь,"бульвар Карпенко, 934, місто Марко, 27723",013 122-06-39,martynlemeshko@havrylyshyn-zakusylo.com
Рубець,Григорій,Іванович,Чоловік,1979-08-24 00:00:00,Бібліотекар,село Станіслав,"провулок Тригуб, 5, місто Мілена, 28371",+38 957 001-61-56,dudovenko@tryhub.ua
Хмара,Леонід,Дмитрович,Чоловік,1960-03-19 00:00:00,Круп'є,село Євген,"Мамчур узвіз, 65, місто Павло, 38498",013 985-60-96,bhydenkosviatoslava@email.ua
Прокопович,Златослава,Григорівна,Жінка,1963-12-16 00:00:00,Ді-джей,село Єва,"Ґерета узвіз, 34, селище Ірена, 91907",+38 171 286-11-42,dutkaiustyna@oliinyk-kolisnychenko.org
Яценко,Мирон,Юрійович,Чоловік,2004-04-09 00:00:00,Головний меркшейдер,селище Алла,"проспект Вітрук, 994, хутір Вікторія, 44514",062 822-33-79,viktorbabenko@gov.ua
Ґерета,Захар,Ільїч,Чоловік,1938-07-06 00:00:00,Круп'є,місто Володимир,"Туркало узвіз, 26, село Ірена, 63847",318-73-08,valentyn38@vernyhora-prokopovych.ua
Олійник,Ігор,Анатолійович,Чоловік,1969-02-18 00:00:00,Музичний редактор,місто Ярема,"набережна Оліфіренко, 60, село Оксана, 69166",+38 (531) 700-73-46,volodymyraskorobohatʹko@opanasenko.com
Вишняк,Микита,Петрович,Чоловік,1980-05-16 00:00:00,Паблік рилейшнз,хутір Аарон,"Балабан узвіз, 68, хутір Марко, 47894",033 219-83-05,gshyian@tsybulenko.info
Захарченко,Аліна,Даниліївна,Жінка,1979-04-10 00:00:00,Бібліограф,селище Пріска,"провулок Бакуменко, 53, хутір Венедикт, 61906",199-49-29,bairakanita@furs.com
Базилевич,Охрім,Костянтинович,Чоловік,1976-04-29 00:00:00,Ді-джей,селище Максим,"набережна Дзиндра, 68, хутір Єва, 101590",070 133-53-90,xdeineko@vdovychenko-tsarenko.com
Павлик,Маруся,Анатоліївна,Жінка,2008-08-17 00:00:00,Лікар,село Арсен,"проспект Худобʼяк, 2, село Ярослав, 45826",+38 (880) 806-31-92,davyd49@deineko-okhrymovych.com
Александренко,Симон,Георгійович,Чоловік,1972-09-15 00:00:00,Няня,селище Орина,"Андрієнко узвіз, 02, село Ростислав, 73461",+38 258 830-18-44,havrylyshynpanteleimon@danylʹchuk.укр
Оніщук,Алла,Петрівна,Жінка,1967-11-04 00:00:00,Детектив,місто Надія,"вулиця Міщенко, 840, село Стефан, 101113",230 37 01,zinkevychdan@gov.ua
Оберемко,Світлана,Вадимівна,Жінка,1986-01-19 00:00:00,Графік,селище Емілія,"набережна Абраменко, 37, селище Онисим, 35173",+38 619 834-04-18,taraneduard@ukr.net
Оліфіренко,Ірена,Даниліївна,Жінка,1991-11-15 00:00:00,Візажист,хутір Пантелеймон,"Конопля узвіз, 6, хутір Данна, 83413",+38 043 988-59-76,iosyp58@i.ua
Артеменко,Ада,Михайлівна,Жінка,1994-06-24 00:00:00,Редактор,місто Федір,"проспект Артеменко, 678, село Богуслав, 55927",179-80-96,babkoprokhir@arkhymovych.net
Малишко,Тереза,Михайлівна,Жінка,1983-03-25 00:00:00,Лікар,селище Леопольд,"майдан Іващенко, 812, хутір Левко, 62689",+38 (309) 146-01-75,yhavryshkevych@mykhailychenko.net
Яценюк,Вʼячеслав,Олександрович,Чоловік,1941-11-08 00:00:00,Клоун,хутір Едуард,"набережна Ярош, 014, хутір Роман, 07834",+38 152 387-82-44,iaroslavakozak@kovaliuk-tkach.укр
Базилевський,Юхим,Костянтинович,Чоловік,1971-12-23 00:00:00,Петрограф,село Орест,"Бараник узвіз, 261, місто Семен, 02665",+38 (308) 070-66-43,trokhym60@email.ua
Зайченко,Володимира,Георгіївна,Жінка,2000-03-24 00:00:00,Стоматолог,хутір Амалія,"проспект Цюцюра, 978, селище Аніта, 86414",+38 384 230-29-57,cvernydub@verkhola.org
Шамрай,Володимир,Іванович,Чоловік,1974-07-09 00:00:00,Штукатур,місто Емілія,"Гупало узвіз, 671, село Франц, 48031",093 822-94-29,tstelʹmakh@i.ua
Дробʼязко,Марта,Георгіївна,Жінка,2002-12-17 00:00:00,Лікар,місто Охрім,"Забарний узвіз, 512, селище Єлисей, 64535",019 121-55-62,orysiakhrystenko@email.ua
Ажажа,Емілія,Ільївна,Жінка,2004-03-17 00:00:00,Хімік,хутір Гордій,"Єресько узвіз, 5, місто Антон, 26964",+38 801 036-91-45,nosenkoihnat@email.ua
Гаврилів,Орест,Дмитрович,Чоловік,1974-05-24 00:00:00,Няня,місто Панас,"Онуфрієнко узвіз, 043, місто Мирослав, 83125",079 555-82-20,averkhovynetsʹ@gov.ua
Гунько,Варфоломій,Сергійович,Чоловік,1993-07-03 00:00:00,Бізнесмен,село Євген,"вулиця Рябовіл, 710, селище Аврелій, 18622",+38 123 132-62-33,havrylenkovasylyna@gov.ua
Фартушняк,Мілена,Григорівна,Жінка,2005-12-08 00:00:00,Золотар,хутір Демид,"Каденюк узвіз, 7, село Євген, 43413",+38 394 698-79-36,shchorsboryslav@mamchur-chalyi.ua
Царенко,Роксолана,Костянтинівна,Жінка,2006-07-11 00:00:00,Вчитель,хутір Данило,"Штепа узвіз, 8, селище Леон, 49025",301-48-92,amazepa@panchuk-yushchenko.ua
Яремко,Оксана,Михайлівна,Жінка,1963-10-06 00:00:00,Складальник,хутір Володимира,"набережна Алексійчук, 8, село Федір, 15133",+38 (768) 122-15-43,ibandura@turkalo.info
Гуцуляк,Іван,Дмитрович,Чоловік,1956-05-16 00:00:00,Бухгалтер,місто Веніямин,"Дашенко узвіз, 97, місто Давид, 73676",533 46 27,kozachenkoheorhii@meta.ua
Ейбоженко,Анжела,Назарівна,Жінка,1959-03-13 00:00:00,Живописець,село Мирон,"Тарасенко узвіз, 54, село Леопольд, 06480",063 262-39-38,vira23@zabara.укр
Забіла,Амвросій,Володимирович,Чоловік,1991-10-14 00:00:00,Нотаріус,хутір Леонід,"Засядько узвіз, 4, місто Валентин, 102730",+38 107 931 39 61,sheremetanton@gov.ua
Килимник,Зорян,Михайлович,Чоловік,2005-02-06 00:00:00,Будник,місто Варфоломій,"Пилипенко узвіз, 8, село Онисим, 75475",027 538-30-36,datsiukarsen@nalyvaiko.info
Сагаль,Соломія,Дмитрівна,Жінка,1997-05-06 00:00:00,Диригент,селище Герман ,"бульвар Саченко, 1, село Леонід, 92479",+38 (466) 155-09-24,qivanychuk@i.ua
Гупало,Симон,Олегович,Чоловік,1942-12-12 00:00:00,Ді-джей,селище Азар,"Притула узвіз, 419, село Захар, 31574",073 00 89,orestiurchenko@fastenko.com
Іщенко,Марʼяна,Михайлівна,Жінка,2000-01-30 00:00:00,Педагог,село Данило,"набережна Рудько, 24, місто Демʼян, 68252",003 909 71 75,teslenkopanteleimon@chupryna.com
Барабаш,Клавдія,Максимівна,Жінка,1989-10-08 00:00:00,Астроном,селище Мирон,"Приходько узвіз, 145, хутір Данило, 61281",+38 (784) 595-41-53,mykyta74@vakarchuk-khrystych.com
Приймак,Спас,Іванович,Чоловік,1972-03-28 00:00:00,Лікар,місто Світлана,"Царенко узвіз, 071, місто Борис, 04121",488 75 75,mariiadashkevych@skorobohatʹko.ua
Ірванець,Данна,Костянтинівна,Жінка,2006-11-10 00:00:00,Літературознавець,село Гордій,"бульвар Данченко, 6, хутір Марʼяна, 47289",+38 312 379 88 74,leontiirebryk@karasʹ.ua
Парасюк,Стефан,Володимирович,Чоловік,1958-01-08 00:00:00,Літературознавець,селище Йосип,"Охримович узвіз, 2, селище Максим, 62276",033-86-43,makarsatsiuk@vasylashko.org
Онищенко,Златослава,Анатоліївна,Жінка,1963-12-22 00:00:00,Хімік,місто Лілія,"провулок Влох, 301, село Ліза, 64803",092 773 39 93,llytvyn@baida.org
Атаманчук,Святослав,Володимирович,Чоловік,1986-11-27 00:00:00,Єгер,місто Дан,"майдан Черінько, 7, місто Христина, 09848",065 440-84-13,omeliannazarenko@pryimak-redʹko.net
Тесленко,Ярослава,Костянтинівна,Жінка,1960-03-11 00:00:00,Нотаріус,селище Богданна,"Овчаренко узвіз, 84, хутір Ольга, 39286",+38 327 139-83-81,fbairak@shvachka.net
Вакарчук,Ольга,Михайлівна,Жінка,1984-11-02 00:00:00,Петрограф,село Ігнат,"проспект Матвієнко, 42, селище Мартин, 08812",263 38 92,petrenkoolesʹ@yurchyshyn-zakharenko.org
Титаренко,Камілла,Анатоліївна,Жінка,1958-05-04 00:00:00,Графік,місто Єва,"Тихий узвіз, 443, хутір Вадим, 22350",+38 134 587-62-19,gzakusylo@yashchuk-ivanchenko.ua
Козак,Соломон,Володимирович,Чоловік,1985-08-05 00:00:00,Водій,місто Мартин,"бульвар Палій, 7, хутір Олександр, 56628",+38 304 432 98 51,ifilipenko@dashkevych.info
Оніщук,Віталій,Сергійович,Чоловік,1979-05-18 00:00:00,Пілот,селище Демид,"проспект Вітрук, 75, хутір Віра, 102828",+38 862 741 75 52,ptsymbaliuk@gov.ua
Супруненко,Софія,Юріївна,Жінка,1977-01-11 00:00:00,Антрополог,місто Пилип,"Сич узвіз, 760, місто Одарка, 73020",811 38 50,dannabazavluchenko@konoplia-irvanetsʹ.org
Алексійчук,Йосип,Володимирович,Чоловік,2008-12-13 00:00:00,Соціолог,село Климент,"вулиця Андрейко, 1, селище Єлисавета, 107089",046 875 38 03,prykhodʹkoieva@veres.info
Бакуменко,Остап,Петрович,Чоловік,1949-01-03 00:00:00,Краєзнавець,селище Ада,"бульвар Наливайко, 237, село Арсен, 31973",+38 407 470 70 73,odarkasachenko@i.ua
Піддубний,Роман,Михайлович,Чоловік,1968-01-19 00:00:00,Фармацевт,селище Орина,"майдан Стець, 47, місто Володимира, 106439",057 113 23 89,leopolʹdudovychenko@vasylashko.net
Цушко,Михайлина,Максимівна,Жінка,1947-02-16 00:00:00,Актор,селище Леопольд,"Бабак узвіз, 2, хутір Прохір, 34745",+38 (605) 176-73-81,vivcharenkoklavdiia@poltavetsʹ-pryimak.com
Франко,Марʼяна,Юріївна,Жінка,1981-07-30 00:00:00,Журналіст,місто Марія,"Якимчук узвіз, 8, місто Тарас, 21333",+38 268 887-31-73,spas52@vlokh.info
Романець,Варфоломій,Анатолійович,Чоловік,1942-12-07 00:00:00,Підприємець,хутір Лариса,"проспект Михайлюк, 05, село Камілла, 61734",+38 566 524 40 71,iukhym43@yeshchenko-lavrenko.com
Сіробаба,Амалія,Дмитрівна,Жінка,1988-11-10 00:00:00,Нотаріус,село Вадим,"Баранник узвіз, 74, місто Азар, 87454",+38 043 414-40-84,viktoriiababko@gmail.com
Гаврилів,Маруся,Костянтинівна,Жінка,2000-02-10 00:00:00,Фольклорист,місто Орина,"Карпа узвіз, 639, місто Болеслав, 83454",021-57-52,oberemkoamvrosii@dubyna.org
Годунок,Єфрем,Дмитрович,Чоловік,1947-05-24 00:00:00,Електротехнік,місто Нестор,"Зайченко узвіз, 20, місто Ірина, 108573",+38 970 415 15 00,sofiia84@duplii.net
